都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
102067,1070600927,群馬県,沼田市,療養通所介護ハッピーデイナーシング,リョウヨウツウショカイゴハッピーデイナーシング,指定療養通所介護,群馬県沼田市久屋原町345-1内田病院　5階,内田病院　5階,36.665907000000000,139.104529100000000,0278-22-0267,0278-24-5315,,医療法人　大誠会　内田病院,1070600927,平日,,3,http://www.taiseikai-group.com,,,,
111058,1176512166,埼玉県,さいたま市中央区,きりんの部屋,キリンノヘヤ,指定療養通所介護,埼玉県さいたま市中央区本町西2-3-9,,35.882923300000000,139.619000400000000,048-705-3282,048-705-3282,3030002018183,有限会社在宅ケアサービス樹林,1176512166,"平日,祝日",,1,,,,,
112038,1172000463,埼玉県,川口市,療養通所介護事業所　鳩ケ谷,リョウヨウツウショカイゴジギョウショ　ハトガヤ,指定療養通所介護,川口市坂下町1丁目8番16号,,35.832270000000000,139.735980499999980,048-281-7102,048-281-7321,7030005015521,公益社団法人埼玉県看護協会,1172000463,平日,営業日は火曜日・木曜日の2回／週のみです。,0,,,,,
112143,1190600435,埼玉県,春日部市,医療型デイサービス悠・はるか,イリョウガタデイサービスハルカ・ハルカ,指定療養通所介護,埼玉県春日部市一ノ割下沖1086番地1,,35.961524600000000,139.758818900000000,048-797-7566,048-797-7628,5030003005055,合同会社福寿会,1190600435,"平日,土曜日,祝日",暦上、６日間以上休業が続く場合は12月30日を営業日とする,,,,,,
112224,1190800449,埼玉県,越谷市,地域密着型療養通所介護めぐり,チイキミッチャクガタリョウヨウツウショカイゴメグリ,指定療養通所介護,埼玉県越谷市弥十郎582番地1,,35.917314789001140,139.795686525053350,048-972-6307,048-972-6089,2030001112120,株式会社リップル,1190800449,"平日,祝日",,9,https://www.ripple-c.jp/,,,,
112224,1190800704,埼玉県,越谷市,コスモ療養通所　アンジュ,コスモリョウヨウツウショアンジュ,指定療養通所介護,埼玉県　越谷市西方2-10-12,,35.884842600000000,139.798482000000000,048-940-8652,048-940-8653,0030001009870,コスモプラス株式会社,1190800704,平日,,11,,,,,
112224,1190800597,埼玉県,越谷市,在宅支援センター夢のつづき,ザイタクシエンセンター　ユメノツヅキ,指定療養通所介護,越谷市三野宮175-１,,35.928468700000010,139.751321999999960,0489401732,0489401733,9030003006314,合同会社エンフェルメリア虹,1190800597,"平日,祝日",サービス提供については、09:00～16:30（改行）（改行）月の第５週目を施設内のメンテナンスのためお休み,5,https://yume.enfe-niji.jp/,,,,
112275,1192100152,埼玉県,朝霞市,TMG療養デイサービスあい,ティエムジィリョウヨウデイサアビスアイ,指定療養通所介護,埼玉県朝霞市西弁財1－8－21ＴＭＧサテライトクリニック朝霞台B棟,ＴＭＧサテライトクリニック朝霞台B棟,35.814190600000000,139.584305900000000,0484869679,0484236937,3030005006895,医療法人社団武蔵野会,1192100152,平日,,7,https://www.tmg-houmonkango.jp/asakadai/dayservice/,,,,
113484,1173201359,埼玉県,鳩山町,彩西療養通所介護鳩山,サイサイリョウヨウツウショカイゴハトヤマ,指定療養通所介護,埼玉県比企郡鳩山町松ヶ丘四丁目1番4号,,35.991537978144980,139.351811810983120,049-296-5605,049-296-5606,1030005011187,特定非営利活動法人彩西ナーシングケア,1173201359,"平日,祝日",,0,,,,,
131121,1391201280,東京都,世田谷区,療養通所介護センター梅ヶ丘,リョウヨウツウショカイゴセンターウメガオカ,指定療養通所介護,東京都世田谷区松原六丁目３７番１号,,35.657684800000000,139.650629400000070,03-6379-1287,03-6379-5276,2380005002480,一般財団法人脳神経疾患研究所,1391201280,"平日,土曜日",,0,http://www.tokyo-rehabili.jp/index.php,,,,
