都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
011011,0150180040,北海道,札幌市中央区,老人保健施設　えん,ロウジンホケンシセツ　エン,短期入所療養介護（介護老人保健施設）,札幌市中央区宮の森１２３８番地１,,43.038713200000000,141.287467099999960,011-611-5522,011-611-1120,3430005001633,医療法人社団恵和会,0150180040,,,0,http://www.miyanomori-hp.or.jp/,,,,
011011,0150180057,北海道,札幌市中央区,介護老人保健施設　フォーシーズン山鼻,カイゴロウジンホケンシセツ　フォーシーズンヤマハナ,短期入所療養介護（介護老人保健施設）,北海道札幌市中央区南１７条西９丁目１-１３,,43.037158900000000,141.346633200000000,011-561-1200,011-561-1277,8430005001793,医療法人社団栄会,0150180057,,,10,http://fourseason.or.jp/,,,,
011011,0170103675,北海道,札幌市中央区,介護老人保健施設けあ・ばんけい,カイゴロウジンホケンシセツケア・バンケイ,短期入所療養介護（介護老人保健施設）,北海道札幌市中央区盤渓２３２番地7,,43.032658099999990,141.277248500000040,011-615-9623,011-615-2335,5430005002019,社会医療法人社団カレスサッポロ,0170103675,,,0,http://www.carebankei.jp/,,,,
011011,0150180032,北海道,札幌市中央区,慈啓会老人保健施設,ジケイカイロウジンホケンシセツ,短期入所療養介護（介護老人保健施設）,札幌市中央区旭ヶ丘5丁目6-48,,43.036242400000000,141.322525199999970,011-520-8085,011-520-8092,3430005000635,札幌慈啓会,0150180032,,,0,https://www.sapporojikeikai.or.jp,,,,
011029,0150280063,北海道,札幌市北区,介護老人保健施設札幌北翔館そとこと,カイゴロウジンホケンシセツサッポロホクショウカンソトコト,短期入所療養介護（介護老人保健施設）,札幌市北区屯田９条３丁目３番地２,,43.143107000000000,141.341194500000030,011-773-7200,011-773-7211,9430005006692,医療法人　北翔会,0150280063,,,0,http://www.hokushokai.or.jp/sotokoto/,,,,
011029,0150280097,北海道,札幌市北区,介護老人保健施設ら・ぱーす,カイゴロウジンホケンシセツラ・パース,短期入所療養介護（介護老人保健施設）,北海道札幌市北区篠路町上篠路6番286,,43.130332100000000,141.382314100000030,011-774-1131,011-774-1818,5430005001508,社会医療法人禎心会,0150280097,,,0,http://www.teishinkai.jp,,,,
011029,0150280055,北海道,札幌市北区,介護老人保健施設　セージュ新ことに,カイゴロウジンホケンシセツ　セージュシンコトニ,短期入所療養介護（介護老人保健施設）,札幌市北区新琴似町７８７番地２，３介護老人保健施設セージュ新ことに,介護老人保健施設セージュ新ことに,43.130885500000000,141.295524500000060,011-768-2800,011-768-2801,2430005001452,医療法人耕仁会,0150280055,,,2,http://www.seijyu-shin.jp/,,,,
011029,0150280113,北海道,札幌市北区,介護老人保健施設プラットホーム,カイゴロウジンホケンシセツプラットホーム,短期入所療養介護（介護老人保健施設）,北海道札幌市北区あいの里２条１丁目２０－１,,43.159531900000000,141.385192700000060,011-776-3037,011-776-3039,8430005001620,社会医療法人社団愛心館,0150280113,,,0,http://www.aishinkan.jp/platform,,,,
011029,0150280139,北海道,札幌市北区,介護老人保健施設サンビオーズ新琴似,カイゴロウジンホケンシセツサンビオーズシンコトニ,短期入所療養介護（介護老人保健施設）,北海道札幌市北区新琴似2条5丁目1-1,,43.106562900000000,141.320834099999960,011-763-9300,011-763-9301,9050005006021,晴生会,0150280139,,,0,http://www.aoikai.jp/symbiose/,,,,
011029,0150280014,北海道,札幌市北区,介護老人保健施設　茨戸アカシアハイツ,カイゴロウジンホケンシセツ　バラトアカシアハイツ,短期入所療養介護（介護老人保健施設）,札幌市北区東茨戸2条3丁目2番5号,,43.163567000000000,141.358670800000000,011-773-6255,011-773-6365,3430005000627,社会福祉法人札幌恵友会,0150280014,,,0,http://www.keiyu-kai.org,,,,
011037,0150280071,北海道,札幌市東区,社会医療法人豊生会　介護老人保健施設ひまわり,シャカイイリョウホウジンホウセイカイ　カイゴロウジンホケンシセツヒマワリ,短期入所療養介護（介護老人保健施設）,札幌市東区東苗穂4条1丁目1-68,,43.088538287610390,141.400877253581260,011-781-8800,011-781-8822,2430005001997,社会医療法人豊生会,0150280071,,,0,https://www.houseikai.or.jp/himawari/,,,,
011037,0150280121,北海道,札幌市東区,介護老人保健施設あすかＨＯＵＳＥ東苗穂,カイゴロウジンホケンシセツアスカハウスヒガシナエボ,短期入所療養介護（介護老人保健施設）,北海道札幌市東区東苗穂6条3丁目11番55号,,43.089822000000000,141.412961099999960,011-789-0100,011-789-0200,1430005001734,医療法人社団明日佳,0150280121,,,0,http://www.asuka-gp.or.jp/asukahouse/,,,,
