都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
012025,0191400167,北海道,函館市,地域密着型特定施設平和の森美原,チイキミッチャクガタトクテイシセツヘイワノモリミハラ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道函館市美原3丁目53－30,,41.823263100000000,140.742370899999970,0138-47-8899,0138-47-8844,8440001001986,平和興産株式会社,0191400167,,,0,http://www.heiwakousan.co.jp/heiwanomori,,,,
012025,0191401470,北海道,函館市,グッドタイムホーム・日吉壱番館,グッドタイムホーム・ヒヨシイチバンカン,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道函館市日吉町4丁目15-5,,41.804327600000000,140.790524300000000,0138-85-6012,0138-85-6013,7290005001355,社会福祉法人創生会,0191401470,,,0,,,,,
012025,0191400498,北海道,函館市,地域密着型特定施設ケアホームくうら,チイキミッチャクガタトクテイシセツケアホームクウラ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道函館市川原町1番3-1号,,41.792322800000000,140.767137400000020,0138-87-2485,0138-87-2486,3440005001459,医療法人社団くうら,0191400498,,,29,http://www.cura.or.jp/carehomecura.html,,,,
012025,0191400431,北海道,函館市,地域密着型特定施設　花水季,チイキミッチャクガタトクテイシセツ　ハナミズキ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道函館市栄町7番地4号,,41.765050359704670,140.724124023278820,0138-22-8884,0138-27-5833,9440001006992,株式会社　清野,0191400431,,,0,https://tamakijapon.wixsite.com/hakodate-hanamizuki,,,,
012033,0192000099,北海道,小樽市,ヴェラス・クオーレ小樽,ベラスクオーレオタル,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道小樽市花園1丁目1番9号,,43.193789300000000,140.999728099999970,0134-24-8080,0134-24-8058,,株式会社光ハイツヴェラス,0192000099,,,69,http://www.varus.co.jp/,,,,
012131,0193600780,北海道,苫小牧市,地域密着型特定施設入居者生活介護　楓,チイキミッチャクガタトクテイシセツニュウキョシャセイカツカイゴカエデ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道苫小牧市豊川町２丁目４番６号サービス付き高齢者向け住宅　楓,サービス付き高齢者向け住宅　楓,42.633547300000000,141.554868200000000,0144‐84‐7638,0144‐84‐7639,9430002061253,有限会社ライフデザイン,0193600780,,,0,https://lifedesign.hp.gogo.jp/pc/,,,,
022039,0290300102,青森県,八戸市,金吹沢の森,カナフキザワノモリ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,青森県八戸市大字大久保字大山7番地,,40.496585595297080,141.574188376721170,0178-34-2681,0178-34-2682,6420005002695,弘仁会,0290300102,,,17,,,,,
022063,0290600071,青森県,十和田市,地域密着型特定施設なかよし荘,チイキミッチャクガタトクテイシセツナカヨシソウ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,青森県十和田市大字深持字南平312番1,,40.615346700000000,141.172719300000040,0176-58-5160,0176-58-5161,6420005005715,社会福祉法人義乃会,0290600071,,,24,http://www.nakayoshi-sou.or.jp,,,,
042099,0490900156,宮城県,多賀城市,夢眠たがじょう,ムウミンタガジョウ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,宮城県多賀城市城南2丁目15番17号,,38.295834800000000,140.992174800000000,022-762-9711,022-368-8118,2200001034751,株式会社夢眠ホーム,0490900156,,,0,http://muminhome.jp/tagajo/,,,,
052035,0590300208,秋田県,横手市,特定施設入居者生活介護さくら,トクテイシセツニュウキョシャセイカツカイゴサクラ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,横手市駅前町１３番２２号,,39.305727784794230,140.562869538076700,0182-23-8602,0182-23-8603,5410005005329,社会福祉法人横手福祉会,0590300208,,,29,http://www.yokotefukushikai.or.jp,,,,
062014,0690100862,山形県,山形市,サービス付き高齢者向け住宅小白川,サービスツキコウレイシャムケジュウタクコジラカワ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,山形県山形市小白川町二丁目3番1号　小白川ケアセンター内,,38.249623300000000,140.350380900000000,023-616-5080,023-616-5081,3010405001696,社会福祉法人恩賜財団済生会支部山形県済生会,0690100862,,,19,https://yamagata-saiseikai.org/,,,,
072109,0791000052,福島県,二本松市,JWS陽だまりの郷　地域密着型特定施設入居者生活介護,ジェイダブリュエスヒダマリノサトチイキミッチャクガタトクテイシセツニュウキョシャセイカツカイゴ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,福島県二本松市表二丁目772,,37.604403200000000,140.436066900000010,0243-62-1031,0243-62-1032,7380001021760,日本福祉サービス株式会社,0791000052,,,0,http://jws-c.jp,,,,
111091,1196501496,埼玉県,さいたま市緑区,ハーウィルケア浦和大門,ハーウィルケアウラワダイモン,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,大門880-2,,0.000000000000000,0.000000000000000,050-5784-9000,048-789-6311,6030001032141,白馬メディケアサービス株式会社,1196501496,,,28,https://harwill.jp/care-urawadaimon/,,,,
112291,1192300083,埼玉県,和光市,地域密着型特定施設　リーシェガーデン和光,チイキミッチャクガタトクテイシセツ　リーシェガーデンワコウ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,和光市丸山台２丁目－11番－１号リーシェガーデン和光,リーシェガーデン和光,35.784199500000000,139.616978300000030,048-485-9954,048-450-3162,9110001006704,株式会社東日本福祉経営サービス,1192300083,,,29,http://www.ej-welfare.jp,,,,
122050,1291000188,千葉県,館山市,ヴェルデセントレ北条,ウ゛ェルデセントレホウジョウ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,千葉県館山市北条１０９０－３,,34.993947700000010,139.870157000000060,0470-22-8886,0470-23-1969,9040005014974,医療法人博正会,1291000188,,,29,http://hakuseikai.net/centre/,,,,
