都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
011011,0190100271,北海道,札幌市中央区,社会福祉法人札幌市社会福祉協議会ナイトケアセンター,シャカイフクシホウジンサッポロシシャカイフクシキョウギカイナイトケアセンター,夜間対応型訪問介護,北海道札幌市中央区北１条西13丁目4FWD札幌ビル　1階,FWD札幌ビル　1階,43.060721256913960,141.336340062118550,011-208-3800,011-272-4024,2430005000636,社会福祉法人札幌市社会福祉協議会,0190100271,"平日,土曜日,日曜日,祝日",オペレーションサービスはサービス提供時間以外でも２４時間可能。（改行）ただし、２４時間通報対応加算算定の場合のみ20:00～8:00のサービス提供に加え、日中も対応可能。,0,http://www.sapporo-shakyo.or.jp/,,,,
011029,0190100081,北海道,札幌市北区,あいコールセンター,アイコールセンター,夜間対応型訪問介護,札幌市北区新川5条4丁目1-10,,43.102701100000000,141.322443400000000,011-209-2288,011-209-4488,,株式会社日本夜間介護センター,0190100081,"平日,土曜日,日曜日,祝日",,0,http://www.jncc24.jp,,,,
012025,0191400944,北海道,函館市,ＳＯＭＰＯケア函館昭和夜間訪問介護,ソンポケアハコダテショウワヤカンホウモンカイゴ,夜間対応型訪問介護,北海道函館市昭和4丁目30-35そんぽの家Ｓ函館昭和,そんぽの家Ｓ函館昭和,41.816685800000000,140.731966400000030,0138-44-0105,0138-43-2780,1260001015656,ＳＯＭＰＯケア株式会社,0191400944,"平日,土曜日,日曜日,祝日",,0,https://www.sompocare.com,,,,
012025,0191401041,北海道,函館市,夜間対応型訪問介護事業所　あい,ヤカンタイオウガタホウモンカイゴジギョウショアイ,夜間対応型訪問介護,北海道函館市日吉町2丁目12-22,,41.792345900000000,140.793396300000040,0138-85-6865,0138-31-0696,,社会福祉法人　心侑会,0191401041,"平日,土曜日,日曜日,祝日",,0,,,,,
012041,0192900314,北海道,旭川市,旭川中央ケアサポート安心コールセンター,アサヒカワチュウオウケアサポートアンシンコールセンター,夜間対応型訪問介護,旭川市東光15条3丁目6-10,,43.741343770148380,142.397177173480260,0166-37-7110,0166-35-5963,6450001000262,旭川中央交通株式会社,0192900314,"平日,土曜日,日曜日,祝日",利用者の状況に応じて柔軟に対応し、２４時間３６５日連絡の取れる体制となっております。,0,http://www.chuuo-hire.com,,,,
012068,0194100137,北海道,釧路市,釧路市社会福祉協議会夜間対応型訪問介護事業所,クシロシシャカイフクシキョウギカイヤカンタイオウガタホウモンカイゴジギョウショ,夜間対応型訪問介護,釧路市旭町１２番３号釧路市総合福祉センター内,釧路市総合福祉センター内,42.985273900000000,144.391060199999970,0154-24-1595,0154-23-3776,9460005001253,社会福祉法人釧路市社会福祉協議会,0194100137,"平日,土曜日,日曜日,祝日",なし,0,http://www.kushiro-city-shakyo.or.jp,,,,
012343,0191300201,北海道,北広島市,北広島ホームヘルプサービスステーション四恩園,キタヒロシマホームヘルプサービスステーションシオンエン,夜間対応型訪問介護,北海道北広島市緑陽町1丁目2番地,,34.507104100000000,133.368746200000030,011-373-7755,011-373-8802,3430005004784,社会福祉法人北海長正会,0191300201,"平日,土曜日,日曜日,祝日",,,http://www.shionen.or.jp,,,,
013374,0191513571,北海道,七飯町,夜間対応型訪問介護ステーションな菜,ヤカンタイオウガタホウモンステーションナナ,夜間対応型訪問介護,北海道亀田郡七飯町桜町665-3,,41.905590900000000,140.698079600000030,0138-83-7728,0138-83-7768,1440005002491,社会福祉法人七和会,0191513571,平日,,,,,,,
022039,0290300268,青森県,八戸市,瑞光園ホームヘルパーステーション,ズイコウエンホームヘルパーステーション,夜間対応型訪問介護,八戸市大字大久保字大山32番1,,40.489110900000000,141.578282300000000,0178-25-8517,0178-25-8518,4420005002937,社会福祉法人同伸会,0290300268,"平日,土曜日,日曜日,祝日",,10,http://zuikoen.or.jp/,,,,
041050,0495500548,宮城県,仙台市泉区,SOMPOケア　仙台泉　夜間訪問介護,ソンポケア　センダイイズミ　ヤカンホウモンカイゴ,夜間対応型訪問介護,宮城県仙台市泉区松森字鹿島53-9,,38.318191100000000,140.909337300000060,022-771-7362,022-373-9416,1260001015656,SOMPOケア株式会社,0495500548,"平日,土曜日,日曜日,祝日",22：00～翌7：00,,https://www.sompocare.com/,,,,
062065,0691200067,山形県,寒河江市,夜間対応型訪問介護つつじ,ヤカンタイオウガタホウモンカイゴツツジ,夜間対応型訪問介護,山形県寒河江市大字寒河江字塩水6-1,,38.379472066310825,140.261482056205750,0237-85-1326,0237-85-1327,7390005007739,特定非営利活動法人あじさい,0691200067,"平日,土曜日,日曜日,祝日",,0,http://www.npo-ajisai.jp/,,,,
064262,0693000085,山形県,三川町,夜間対応型訪問介護ホームヘルパーステーションなの花荘,ヤカンタイオウガタホウモンカイゴホームヘルパーステーションナノハナソウ,夜間対応型訪問介護,山形県東田川郡三川町大字横山字城下228番地9,,38.776767176875445,139.851165944982880,0235-33-8896,0235-33-8897,8390005003893,社会福祉法人けやき,0693000085,"平日,土曜日,日曜日,祝日",,0,http://www.nanohanaso.or.jp,,,,
072010,0790100309,福島県,福島市,社会福祉法人ライフ・タイム・福島　ロング・ライフ夜間対応型訪問介護事業所,シャカイフクシホウジンライフ・タイム・フクシマ　ロング・ライフヤカンタイオウガタホウモンカイゴジギョウショ,夜間対応型訪問介護,福島市松川町字産子内１番地の１,,37.667299700000000,140.478043399999930,024-567-5800,024-567-5802,7380005000471,社会福祉法人ライフ・タイム・福島,0790100309,"平日,土曜日,日曜日,祝日",日中帯も、24時間通報対応の体制を整えているので、連絡を頂き、ケアマネジャーやご利用頂いている訪問介護事業所へ連絡することが可能です。,0,http://www.life-time-fukushima.jp/,,,,
092011,0990100950,栃木県,宇都宮市,定期巡回型訪問介護看護ひだまり,テイキジュンカイガタホウモンカイゴカンゴヒダマリ,夜間対応型訪問介護,栃木県宇都宮市900‐1,,36.599336446498210,139.903409177368160,028‐616‐3460,028-616-3462,8060005001352,社会福祉法人　豊郷,0990100950,"平日,土曜日,日曜日,祝日",(1)窓口受付日　月～金(相談受付日(土日祝日及び12/29～1/3除く))（改行）(2)窓口受付時間　8：30～17：30(相談受付時間(土日祝日及び12/29～1/3除く)),5,http：//www.toyosato-g.or.jp,,,,
102016,1090100858,群馬県,前橋市,夜間対応型訪問介護グランポルト前橋,ヤカンタイオウガタホウモンカイゴグランポルトマエバシ,夜間対応型訪問介護,群馬県前橋市昭和町3丁目11番18号,,36.405429199999986,139.062937400000000,027-212-6555,027-212-6556,4070005006973,社会福祉法人ほたか会,1090100858,"平日,土曜日,日曜日,祝日",上記以外の時間帯のご利用については、予め事業所へご相談ください。,,https://hotakakai.or.jp,,,,
