都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
011053,0110317732,北海道,札幌市豊平区,医療法人社団北樹会病院,イリョウホウジンシャダンホクジュカイビョウイン,短期入所療養介護(療養病床を有する病院等）,北海道札幌市豊平区月寒西5条8丁目4番32号,,43.025860500000000,141.386644500000000,011-856-1111,011-856-1116,3430005001988,医療法人社団北樹会病院,0110317732,,,0,http://www.hokujyukai.jp/,,,,
012033,0112015029,北海道,小樽市,本間内科医院,ホンマナイカイイン,短期入所療養介護(療養病床を有する病院等）,北海道小樽市稲穂2丁目19番13号,,43.196658400000000,140.995803300000030,0134-25-3361,0134-25-3365,,医療法人社団　本間内科医院,0112015029,,,,https://www.honmanaika.com/,,,,
012041,0112914890,北海道,旭川市,医療法人社団はらだ病院,イリョウホウジンシャダンハラダビョウイン,短期入所療養介護(療養病床を有する病院等）,北海道旭川市１条通１６丁目右７号,,43.761400700000000,142.372401800000030,0166-23-2780,0166-25-7893,,医療法人社団はらだ病院,0112914890,,,,http://www.ahmic21.ne.jp/harada.hp/,,,,
012041,0112917174,北海道,旭川市,旭川高砂台病院,アサヒカワタカサゴダイビョウイン,短期入所療養介護(療養病床を有する病院等）,旭川市高砂台１丁目１番２２号,,43.768331300000010,142.312424100000040,0166-61-5700,0166-61-5089,,医療法人社団恩和会,0112917174,,,0,http://takasagodai.com,,,,
012173,0111013686,北海道,江別市,医療法人社団親寿会　池永クリニック,イリョウホウジンシャダンシンジュカイ　イケナガクリニック,短期入所療養介護(療養病床を有する病院等）,文京台東町１１－２４,,43.071251800000000,141.496019299999940,011-387-1111,011-386-3853,,医療法人社団親寿会　池永クリニック,0111013686,,,0,,,,,
012289,0117411306,北海道,深川市,深川第一病院,フカガワダイイチビョウイン,短期入所療養介護(療養病床を有する病院等）,深川市あけぼの町１番１号,,43.741404800000010,142.035457899999980,0164-23-3511,0164-22-7176,,医療法人アンリー・デュナン会,0117411306,,,,http://www.henry-dunant.or.jp,,,,
014079,0172500381,北海道,仁木町,医療法人社団　健仁会　森内科胃腸科医院,イリョウホウジンシャダン　ケンジンカイ　モリナイカイチョウカイイン,短期入所療養介護(療養病床を有する病院等）,余市郡仁木町北町１丁目６－２,,43.154299846745650,140.765455036770620,0135-32-3455,0135-32-2545,,医療法人社団　健仁会　森内科胃腸科医院,0172500381,,,0,http://mori-med/net,,,,
014087,0112510979,北海道,余市町,医療法人社団倫仁会　小嶋内科,イリョウホウジンシャダンリンジンカイ　コジマナイカ,短期入所療養介護(療養病床を有する病院等）,北海道余市郡余市町黒川町７－１３,,43.186885900000000,140.792056099999970,0135-22-2245,0135-22-2551,7430005008096,医療法人社団倫仁会,0112510979,,,0,http://www3.ocn.ne.jp/~kojimahp/,,,,
015750,0113710826,北海道,壮瞥町,医療法人交雄会　そうべつ温泉病院,イリョウホウジンコウユウカイ　ソウベツオンセンビョウイン,短期入所療養介護(療養病床を有する病院等）,有珠郡壮瞥町字南久保内１４６－１２,,42.575406900000000,140.963703099999980,0142-65-2221,0142-65-2739,,医療法人交雄会,0113710826,,,,http://www.koyukai-g.jp/soh/,,,,
015857,0113611081,北海道,安平町,医療法人同和会　追分菊池病院,イリョウホウジンドウワカイ　オイワケキクチビョウイン,短期入所療養介護(療養病床を有する病院等）,北海道勇払郡安平町追分本町１丁目４３番地,,42.877185100000000,141.812102800000050,0145-25-2531,0145-25-2239,,医療法人同和会　追分菊池病院,0113611081,,,,http://www.akai-himawari.or.jp/,,,,
015865,0113613566,北海道,むかわ町,むかわ町国民健康保険穂別診療所,ムカワチョウコクミンケンコウホケンホベツシンリョウショ,短期入所療養介護(療養病床を有する病院等）,北海道勇払郡むかわ町穂別８１番地８,,42.766349800000010,142.138169999999940,0145-45-2121,0145-45-2741,,むかわ町国民健康保険穂別診療所,0113613566,,,,http://www.hokkai.or.jp/hobetsu/shinryo/,,,,
016675,0114311079,北海道,鶴居村,つるい養生邑病院,ツルイヨウセイムラビョウイン,短期入所療養介護(療養病床を有する病院等）,北海道阿寒郡鶴居村字雪裡原野北２２線西１１番地,,43.272658600000000,144.325843200000000,0154-64-2321,0154-64-2669,,医療法人養生邑,0114311079,,,,http://www4.ocn.ne.jp/~yousei/,,,,
024082,0212511711,青森県,東北町,医療法人　瑞翔会　旭日クリニック,イリョウホウジン　ズイショウカイ　アサヒクリニック,短期入所療養介護(療養病床を有する病院等）,青森県上北郡東北町大字上野字南谷地258番地1,,40.731411299999984,141.279168400000000,0176-58-2050,0176-58-2051,6420005006011,医療法人瑞翔会,0212511711,,,6,http://asahi-clinic.jp,,,,
042099,0410910210,宮城県,多賀城市,仙塩総合病院,センエンソウゴウビョウイン,短期入所療養介護(療養病床を有する病院等）,宮城県多賀城市桜木2丁目1-1,,38.291370400000000,141.015104400000040,022-367-4111,022-367-4112,5370605000072,医療法人寶樹会,0410910210,,,0,http://www.sen-en.jp/,,,,
064611,0673200457,山形県,遊佐町,順仁堂　遊佐病院,ジュンジンドウ　ユザビョウイン,短期入所療養介護(療養病床を有する病院等）,山形県飽海郡遊佐町遊佐字石田７,,39.017821100000000,139.906224400000040,０２３４－７２－２５２２,０２３４－７１－２８６５,8390005002929,医療法人社団順仁堂,0673200457,,,0,http://www.yuza-hospital.jp/,,,,
082031,0810311704,茨城県,土浦市,医療法人社団　三輪会　山手医院,イリョウホウジンシャダン　サンワカイ　ヤマノテイイン,短期入所療養介護(療養病床を有する病院等）,茨城県　土浦市　国分町７－６,,36.066251200000000,140.188541000000000,029-835-3388,029-835-3966,,医療法人社団　三輪会,0810311704,,,0,http://wwwyamanote-clinic.com,,,,
