都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
011011,0190100297,北海道,札幌市中央区,認知症対応型デイサービスファミリーケア桑園,ニンチショウタイオウガタデイサービスファミリーケアソウエン,認知症対応型通所介護,札幌市中央区北四条西十五丁目1番地1第2コアレックスビル2階,第2コアレックスビル2階,43.063622800000000,141.332464299999970,011-533-4446,011-533-4448,,株式会社ファミリーケア北海道,0190100297,"平日,土曜日,日曜日,祝日",18時以降は延長加算対応,0,http://www.familycare-hokkaido.jp/,,,,
011011,0190100040,北海道,札幌市中央区,信寿園デイサービスセンター,シンジュエンデイサービスセンター,認知症対応型通所介護,札幌市中央区南8条西10丁目1035-5,,43.049947000000000,141.343858500000000,011-552-3033,011-552-3004,3430005000577,社会福祉法人秀寿会,0190100040,"平日,土曜日,祝日",,0,http://www.hokubu-g.co.jp/,,,,
011011,0190100990,北海道,札幌市中央区,デイサービスももいろはーと,デイサービスモモイロハート,認知症対応型通所介護,札幌市中央区北4条西14丁目1-57ステラガーデン1階,ステラガーデン1階,43.063774900000006,141.334926700000000,011-522-7505,011-522-5293,4430001079045,株式会社Ｎハートネットワーク,0190100990,"平日,土曜日,日曜日,祝日",,0,http://hp.kaipoke.biz/341/,,,,
011029,0170201446,北海道,札幌市北区,デイサービスこんふぉーる,デイサービスコンフォール,認知症対応型通所介護,札幌市北区新川西3条3丁目12番10号,,43.125594199999990,141.284973199999970,011-769-5011,011-765-3148,9430002037113,有限会社コンフォール,0170201446,"平日,土曜日,祝日",,12,http://connforu.com/,,,,
011029,0190201277,北海道,札幌市北区,デイサービスもみじ,デイサービスモミジ,認知症対応型通所介護,北海道札幌市北区屯田6条10丁目6番23号,,43.136954300000000,141.319935100000070,011-774-2028,011-774-2028,4430001032144,株式会社ケアセンター,0190201277,"平日,土曜日,日曜日,祝日",,0,https://www.tonden-furusato.com,,,,
011029,0190200998,北海道,札幌市北区,デイサービスセンターもえんち篠路,デイサービスセンターモエンチシノロ,認知症対応型通所介護,北海道札幌市北区篠路10条1丁目1番1号ウェルフェアMOE,ウェルフェアMOE,43.157905500000000,141.353428900000040,011-771-8878,011-771-7555,3450001009224,株式会社萌福祉サービス,0190200998,"平日,祝日",ー,0,http://www.moe-fukushi.com/,,,,
011029,0190200626,北海道,札幌市北区,デイサービスセンター昔茶屋,デイサービスセンタームカシチャヤ,認知症対応型通所介護,北海道札幌市北区屯田７条５丁目２－２０,,43.136521400000000,141.334159199999930,011-775-7005,011-775-7006,1430005011782,社会福祉法人三草会,0190200626,"平日,土曜日,祝日",,0,http://www.sansoukai-welfare.jp/spr_mukashichaya.html,,,,
011029,0190200337,北海道,札幌市北区,デイサービスセンター　こころ,デイサービスセンター　ココロ,認知症対応型通所介護,札幌市北区屯田6条6丁目4番45号　グループホーム丸心　内,,43.135390900000000,141.333009299999960,011-774-8006,011-299-6528,8430002041900,有限会社丸心,0190200337,"平日,土曜日,日曜日,祝日",年末年始（12月29日～1月3日）希望により相談に応じる。（改行）送迎の関係から通常9時30分より17時の時間帯でサービス提供を行っています。,6,https://marushin.care,,,,
011029,0190201269,北海道,札幌市北区,デイサービス　かえで,デイサービス　カエデ,認知症対応型通所介護,北海道札幌市北区屯田9条9丁目6番6号,,43.144831500000000,141.324666699999970,011-775-7600,011-775-7601,4430001032144,株式会社ケアセンター,0190201269,"平日,土曜日,日曜日,祝日",,0,http://www.tonden-furusato.com/,,,,
011037,0190200204,北海道,札幌市東区,ニチイケアセンター元町,ニチイケアセンターモトマチ,認知症対応型通所介護,北海道札幌市東区北25条東20丁目5-15,,43.096395300000000,141.383091299999930,011-789-2791,011-789-2792,,株式会社　ニチイ学館,0190200204,平日,,,http://www.nichiigakkan.co.jp,,,,
011037,0190200816,北海道,札幌市東区,デイサービスセンターいきいき栄,デイサービスセンターイキイキサカエ,認知症対応型通所介護,北海道札幌市東区北42条東5丁目3番1号,,43.111107828014220,141.352459058366430,011-742-7000,011-742-7711,1430001027964,株式会社オストジャパングループ,0190200816,"平日,祝日",,0,http://www.ost-japan.com,,,,
011037,0190201467,北海道,札幌市東区,共用デイいきいき栄,キョウヨウデイイキイキサカエ,認知症対応型通所介護,北海道札幌市東区北42条東5丁目3番1号,,43.111070100000000,141.352482800000000,011-742-7777,011-742-7711,1430001027964,株式会社オストジャパングループ,0190201467,"平日,土曜日,祝日",,0,http://www.ost-japan.com,,,,
011037,0170200141,北海道,札幌市東区,大友恵愛園　デイサービスセンター,オオトモケイアイエン,認知症対応型通所介護,北海道札幌市東区北17条東5丁目2-5,,43.082926800000000,141.359266400000020,011-721-5565,011-751-1711,3430005000536,社会福祉法人大友恵愛会,0170200141,"平日,祝日",なし,12,http://www.ootomokeiaien.or.jp,,,,
