都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
014583,0173100421,北海道,東川町,有料老人ホームゆう,ユウリョウロウジンホームユウ,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,北海道上川郡東川町北町4丁目９－２１,,43.704778999999990,142.500792300000060,0166-85-6044,0166-85-6044,3450002008167,株式会社栄友,0173100421,,,,,,,,
015784,0173602236,北海道,白老町,介護付有料老人ホーム「花つむぎ」,カイゴツキユウリョウロウジンホームハナツムギ,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,東町2丁目4番12号,,35.705436800000000,139.386678599999980,0144-82-2227,0144-85-5888,,医療法人社団玄洋会,0173602236,,,,http://www.douousatou.or.jp/shiraoi/shiraoi_yu_hana.html,,,,
282065,2871001323,兵庫県,芦屋市,芦屋アラベラの家（外部サービス利用型）,アシヤアラベラノイエ　ガイブサービスリヨウガタ）,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,芦屋市朝日ヶ丘町9－1,,34.746448000000000,135.304409500000020,0797－23－1200,0797－23－2200,8140005002417,芦屋アラベラの家（外部サービス利用型）,2871001323,,,11,http://www.arabella.jp/,,,,
322016,3270104460,島根県,松江市,介護付き有料老人ホーム八重垣,カイゴツキユウリョウロウジンホームヤエガキ,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,島根県松江市大庭町1397番地1介護付き有料老人ホーム八重垣,介護付き有料老人ホーム八重垣,35.434010718911146,133.073664412543250,0852678225,0852678226,8280001006069,株式会社かすみコーポレーション,3270104460,,,60,https://www.toukou-g.com,,,,
382019,3870106220,愛媛県,松山市,ケアハウスアテーナ,ケアハウスアテーナ,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,愛媛県松山市保免中3丁目3-23,,33.814421500000000,132.745898000000000,089-905-6886,089-905-6511,1500005002056,社会福祉法人アテーナ会,3870106220,,,,http://www.ate-na.jp/,,,,
402036,4071603106,福岡県,久留米市,ウエルネス,ウエルネス,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,福岡県久留米市田主丸町田主丸1001-4,,33.336640500000000,130.690322299999930,0943-72-3483,0943-72-3487,2290005010658,ひじり会,4071603106,,,50,http://hijirikai.com/,,,,
406210,4078000363,福岡県,苅田町,介護付有料老人ホーム　メゾン・ド・プレール,カイゴツキユウリョウロウジンホーム　メゾン・ド・プレール,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,福岡県京都郡苅田町大字新津1597番地,,33.750131600000000,130.974344900000000,0930-26-2016,0930-28-8294,6290805006380,社会医療法人　陽明会,4078000363,,,50,http://www.youmeikai.jp/obase,,,,
422011,4270109681,長崎県,長崎市,外部サービス利用型介護付有料老人ホーム大浦十三番館,ガイブサービスリヨウガタカイゴツキユウリョウロウジンホームオオウラジュウサンバンカン,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,長崎県長崎市大浦町3番21号,,32.736263887814210,129.871255789549200,095-822-3355,095-811-3688,8310001003517,株式会社ベスト・スマイル,4270109681,,,35,http://www.ooura13.com,,,,
