都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
011011,0110410545,北海道,札幌市中央区,慈啓会病院　（訪問リハビリテーション）,ジケイカイビョウイン　（ホウモンリハビリテーション）,訪問リハビリテーション,札幌市中央区旭ヶ丘5丁目6番50号,,43.036925700000000,141.323191700000050,011-561-8292,011-551-3862,,札幌慈啓会,0110410545,平日,月曜・水曜のみ実施,,http://www.sapporojikeikai.or.jp/,,,,
011011,0110117702,北海道,札幌市中央区,南札幌病院　訪問リハビリテーション,ミナミサッポロビョウインホウモンリハビリテーション,訪問リハビリテーション,札幌市中央区南9条西7丁目1番23号,,43.048305600000010,141.348308200000020,011-511-3368,011-511-1862,,医療法人社団　清和会　南札幌病院,0110117702,平日,,0,http://www.minamisapporo.or.jp,,,,
011011,0110114121,北海道,札幌市中央区,札幌西円山病院訪問リハビリテーション,サッポロニシマルヤマビョウインホウモンリハビリテーション,訪問リハビリテーション,札幌市中央区円山西町4丁目7番25号札幌西円山病院,札幌西円山病院,43.039961900000010,141.303213600000000,011-642-4132,011-642-4291,4430005001450,医療法人渓仁会,0110114121,平日,なし,0,https://keijinkai.com/nishimaruyama/,,,,
011011,0170103675,北海道,札幌市中央区,介護老人保健施設けあ・ばんけい訪問（介護予防訪問）リハビリテーション,カイゴロウジンホケンシセツケアバンケイホウモン(カイゴヨボウホウモン)リハビリテーション,訪問リハビリテーション,北海道札幌市中央区盤渓232-7,,43.032649800000000,141.277201300000000,011-615-9623,011-615-2335,5430005002019,社会医療法人社団カレスサッポロ,0170103675,平日,,,http://www.carebankei.jp/,,,,
011011,0110613494,北海道,札幌市中央区,かえでの杜クリニック,カエデノモリクリニック,訪問リハビリテーション,中央区南8条西7丁目1782-5小林ビル1階,小林ビル1階,43.049651500000000,141.349410400000000,011-533-8000,011-211-8695,,,0110613494,"平日,土曜日",,,https://kaede-mori.com/,,,,
011011,0170104913,北海道,札幌市中央区,社会医療法人鳩仁会　札幌中央病院,シャカイイリョウホウジンキュウジンカイサッポロチュウオウビョウイン,訪問リハビリテーション,北海道札幌市中央区南9条西10丁目1-50,,43.047652225155610,141.343185214680500,011-531-0111,011-531-9746,2430005001469,社会医療法人鳩仁会,0170104913,平日,,,https://www.sc-h.or.jp,,,,
011011,0110612744,北海道,札幌市中央区,ごう在宅クリニック,ゴウザイタククリニック,訪問リハビリテーション,南１条東２丁目８－２SRビル１階,SRビル１階,43.060302700000000,141.359691700000000,0118027823,0118027824,5430005013767,医集会,0110612744,平日,場所によっては開始・終了時間が変わる可能性あり。,0,http://go-athome-nurse.com,,,,
011011,0110612108,北海道,札幌市中央区,医療法人渓仁会　札幌渓仁会リハビリテーション病院,イリョウホウジンケイジンカイ　サッポロケイジンカイリハビリテーションビョウイン,訪問リハビリテーション,北海道札幌市中央区北１０条西１７丁目３６－１３,,43.070474600000000,141.327597700000070,011-642-4120,011-642-4135,4430005001450,渓仁会,0110612108,平日,,0,http://www.keijinkai.com/keijinkai-reha/,,,,
011029,0110218138,北海道,札幌市北区,医療法人社団北昂会ファミール内科　在宅医療センター,イリョウホウジンシャダンホッコウカイファミールナイカ　ザイタクイリョウセンター,訪問リハビリテーション,北海道札幌市北区北２９条西４丁目２番１－１５８ファミール札幌,ファミール札幌,43.096440368495690,141.342835388360550,011-746-3988,011-746-6722,8430005002024,医療法人社団北昂会ファミール内科,0110218138,平日,,0,http://www.hokkoukai.com,,,,
011029,0150280055,北海道,札幌市北区,訪問リハビリテーション　セージュ新ことに,ホウモンリハビリテーション　セージュシンコトニ,訪問リハビリテーション,北海道札幌市北区新琴似町787番地２,,43.130786600000000,141.295627900000000,011-768-2800,011-768-2801,2430005001452,医療法人　耕仁会,0150280055,平日,,0,http://www.seijyu-shin.jp/,,,,
