都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
011011,0110118338,北海道,札幌市中央区,伏見啓明整形外科通所リハビリテーションセンター,フシミケイメイセイケイゲカツウショリハビリテーションセンター,通所リハビリテーション,北海道札幌市中央区南１４条西１９丁目１−１,,43.039722700000000,141.328041100000060,011-563-8400,011-563-1161,,医療法人社団伏見啓明整形外科,0110118338,平日,,0,,,,,
011011,0110116514,北海道,札幌市中央区,医療法人讃生会　デイケア宮の森,イリョウホウジン　サンセイカイ　デイケアミヤノモリ,通所リハビリテーション,札幌市中央区宮の森3条7丁目5-25,,43.062196600000000,141.302708700000040,011-641-1100,011-641-1100,7430005001497,医療法人　讃生会,0110116514,"平日,祝日",,40,http://www.miyanomori.or.jp/,,,,
011011,0110117785,北海道,札幌市中央区,創成東病院　通所リハビリテーション,ソウセイヒガシビョウイン　ツウショリハビリテーション,通所リハビリテーション,北海道札幌市中央区南3条東3丁目13番地,,43.058209600000000,141.361717699999990,011-222-2117,011-222-2204,8430005005877,医療法人資生会,0110117785,平日,,0,https://www.siseikai.or.jp/souseihigashi-hospital/,,,,
011011,0110612108,北海道,札幌市中央区,医療法人渓仁会　札幌渓仁会リハビリテーション病院,イリョウホウジンケイジンカイ　サッポロケイジンカイリハビリテーションビョウイン,通所リハビリテーション,北海道札幌市中央区北１０条西１７丁目３６－１３,,43.070474600000000,141.327597700000070,011-640-7012,011-640-5083,4430005001450,渓仁会,0110612108,平日,,0,http://www.keijinkai.com/keijinkai-reha/,,,,
011011,0150180057,北海道,札幌市中央区,フォーシーズン山鼻,フォーシーズンヤマハナ,通所リハビリテーション,北海道札幌市中央区南17条西9丁目1-13,,43.037201300000000,141.346436800000000,011-561-1200,011-561-1277,8430005001793,医療法人社団栄会,0150180057,"平日,祝日",祝日は通常通りサービスを提供いたします。,30,http://fourseason.or.jp/,,,,
011011,0150180040,北海道,札幌市中央区,老人保健施設　えん,ロウジンホケンシセツ　エン,通所リハビリテーション,札幌市中央区宮の森1238番地1,,43.038713200000000,141.287467099999960,011-611-5522,011-611-1120,3430005001633,医療法人社団恵和会,0150180040,"平日,土曜日,日曜日,祝日",,0,http://www.miyanomori-hp.or.jp/,,,,
011011,0170103675,北海道,札幌市中央区,介護老人保健施設　けあ・ばんけい,カイゴロウジンホケンシセツ,通所リハビリテーション,北海道札幌市中央区盤渓２３２－７,,43.032658100000000,141.277248500000040,011-615-9623,011-615-2335,5430005002019,社会医療法人社団　カレスサッポロ,0170103675,"平日,祝日",なし,0,http://www.carebankei.jp/,,,,
011011,0150180032,北海道,札幌市中央区,慈啓会老人保健施設,ジケイカイロウジンホケンシセツ,通所リハビリテーション,札幌市中央区旭ヶ丘５丁目６－４８,,43.036143060432460,141.322680071002960,011-520-8085,011-520-8092,3430005000635,札幌慈啓会,0150180032,"平日,祝日",-,0,https://www.sapporojikeikai.or.jp/,,,,
011029,0110219607,北海道,札幌市北区,医療法人社団リラ整形外科クリニック,イリョウホウジンシャダンリラセイケイゲカクリニック,通所リハビリテーション,屯田９条３丁目１−２０屯田メディカルモール１F,屯田メディカルモール１F,43.141940200000000,141.341749700000000,011-776-5577,011-776-5566,4430005010674,医療法人社団リラ整形外科クリニック,0110219607,"平日,土曜日",介護（通所リハビリテーション）実施曜日：月・火・水・金曜日①9:15〜10:45②11:00〜12：30③14:00〜15:30,0,http://lilas-clinic.jp,,,,
011029,0150280055,北海道,札幌市北区,介護老人保健施設　セージュ新ことに,カイゴロウジンホケンシセツ　セージュシンコトニ,通所リハビリテーション,札幌市北区新琴似町７８７番地２，３介護老人保健施設セージュ新ことに,介護老人保健施設セージュ新ことに,43.130885500000000,141.295524500000060,011-768-2800,011-768-2801,2430005001452,医療法人耕仁会,0150280055,"平日,土曜日,祝日",,90,http://www.seijyu-shin.jp/,,,,
